first_name,last_name,user_name,password,photo,team_name,role,gender,age_category,skill_level,record_ind,record_team,phone_num,phone_type,email,day_pref1,time_pref1,day_pref2,time_pref2,password_digest,remember_token,created_at,updated_at
Kevin,Hobbs,Kevin.Hobbs@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,C1,,,4045551212,Home,Kevin.Hobbs@blahblah.com,Mon,Morning,Sun,Afternoon,,,,
Kim,Sammons,Kim.Sammons@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C1,,,4045551212,Work,Kim.Sammons@blahblah.com,Tue,Midday,Sat,Morning,,,,
Brad,Mackett,Brad.Mackett@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,captain,M,adult,B2,,,4045551212,Cell,Brad.Mackett@blahblah.com,Wed,Afternoon,Fri,Midday,,,,
Eileen,Mackett,Eileen.Mackett@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,captain,F,adult,B2,,,4045551212,Home,Eileen.Mackett@blahblah.com,Thu,Morning,Thu,Afternoon,,,,
Kevin,Scollard,Kevin.Scollard@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,B2,,,4045551212,Work,Kevin.Scollard@blahblah.com,Fri,Midday,Wed,Morning,,,,
Tim,Smith,Tim.Smith@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,B2,,,4045551212,Cell,Tim.Smith@blahblah.com,Sat,Afternoon,Tue,Midday,,,,
Michelle,Smith,Michelle.Smith@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C1,,,4045551212,Home,Michelle.Smith@blahblah.com,Sun,Morning,Mon,Afternoon,,,,
Ian,Hastings,Ian.Hastings@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,C4,,,4045551212,Work,Ian.Hastings@blahblah.com,Mon,Midday,Sun,Morning,,,,
Beth,Hastings,Beth.Hastings@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C3,,,4045551212,Cell,Beth.Hastings@blahblah.com,Tue,Afternoon,Sat,Midday,,,,
Lola,Kress,Lola.Kress@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,B4,,,4045551212,Home,Lola.Kress@blahblah.com,Wed,Morning,Fri,Afternoon,,,,
Jason,Naylor,Jason.Naylor@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,C4,,,4045551212,Work,Jason.Naylor@blahblah.com,Thu,Midday,Thu,Morning,,,,
Karen,Draper,Karen.Draper@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C3,,,4045551212,Cell,Karen.Draper@blahblah.com,Fri,Afternoon,Wed,Midday,,,,
Chris,Draper,Chris.Draper@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,B2,,,4045551212,Home,Chris.Draper@blahblah.com,Sat,Morning,Tue,Afternoon,,,,
Scott,Davidson,Scott.Davidson@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,B4,,,4045551212,Work,Scott.Davidson@blahblah.com,Sun,Midday,Mon,Morning,,,,
Kristen,Davidson,Kristen.Davidson@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C1,,,4045551212,Cell,Kristen.Davidson@blahblah.com,Mon,Afternoon,Sun,Midday,,,,
Kristin,Haden,Kristin.Haden@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C1,,,4045551212,Home,Kristin.Haden@blahblah.com,Tue,Morning,Sat,Afternoon,,,,
Rick,Haden,Rick.Haden@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,C1,,,4045551212,Work,Rick.Haden@blahblah.com,Wed,Midday,Fri,Morning,,,,
Rhonda,Davis,Rhonda.Davis@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C3,,,4045551212,Cell,Rhonda.Davis@blahblah.com,Thu,Afternoon,Thu,Midday,,,,
Lincoln,Davis,Lincoln.Davis@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,C4,,,4045551212,Home,Lincoln.Davis@blahblah.com,Fri,Morning,Wed,Afternoon,,,,
Chris,Caldwell,Chris.Caldwell@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,B2,,,4045551212,Work,Chris.Caldwell@blahblah.com,Sat,Midday,Tue,Morning,,,,
Kim,Caldwell,Kim.Caldwell@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,B3,,,4045551212,Cell,Kim.Caldwell@blahblah.com,Sun,Afternoon,Mon,Midday,,,,
Scott,Hargis,Scott.Hargis@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,B1,,,4045551212,Home,Scott.Hargis@blahblah.com,Mon,Morning,Sun,Afternoon,,,,
Sue,Hargis,Sue.Hargis@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C2,,,4045551212,Work,Sue.Hargis@blahblah.com,Tue,Midday,Sat,Morning,,,,
Beth,Downes,Beth.Downes@blahblah.com,TEMPpassword!,http://bit.ly/1EWqFOW,Jazz,player,F,adult,C3,,,4045551212,Cell,Beth.Downes@blahblah.com,Wed,Afternoon,Fri,Midday,,,,
Tim,Downes,Tim.Downes@blahblah.com,TEMPpassword!,http://bit.ly/1RJRjDK,Aces,player,M,adult,C2,,,4045551212,Home,Tim.Downes@blahblah.com,Thu,Morning,Thu,Afternoon,,,,
